name,formatted_address,lat,lng,website,phone_national,phone_international,types,place_id,resource_name,google_maps_uri,included_type,source_keyword
ALUMNI CAFE JELI,"PT 5454 (D, Kampung Gemang Lama, 17600 Jeli, Kelantan, มาเลเซีย",5.747273900000001,101.8624191,,016-827 2702,+60 16-827 2702,restaurant|food|point_of_interest|establishment,ChIJXx4mtdkxtDERORvaIndv410,places/ChIJXx4mtdkxtDERORvaIndv410,https://maps.google.com/?cid=6765373622717127481&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Thecossa1996's_cafe,"2X57+MF3 289 4057, ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย",6.0092003,101.9637549,,,,coffee_shop|cafe|food_store|food|point_of_interest|store|establishment,ChIJpRrxCAgZtDERq0bbulL8UsM,places/ChIJpRrxCAgZtDERq0bbulL8UsM,https://maps.google.com/?cid=14074589217738671787&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
มา-หา-ที mahatee,128/24 ม.6 ตำบล ปาเสมัส อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0287048,101.9534503,,099 369 5449,+66 99 369 5449,bakery|wholesaler|restaurant|cafe|food_store|food|point_of_interest|store|establishment,ChIJBRvukmIdtDERTlnTbKeClRw,places/ChIJBRvukmIdtDERTlnTbKeClRw,https://maps.google.com/?cid=2059696060188809550&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Mubarok cafe',5M9X+Q83 สามแยกสวนพระยา ตำบล ดุซงญอ อำเภอ จะแนะ นราธิวาส 96220 ประเทศไทย,6.1693881,101.6982853,,090 178 2290,+66 90 178 2290,cafe|point_of_interest|food|establishment,ChIJSdmJgQNztDERemeA3x_1zLQ,places/ChIJSdmJgQNztDERemeA3x_1zLQ,https://maps.google.com/?cid=13028057339318527866&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
D'Rofa Cafe Mee Udang Galah,"Jalan Kota Bharu - Pengkalan Kubor, 16210 Tumpat, Kelantan, มาเลเซีย",6.1470614,102.16294579999999,https://m.facebook.com/maggisotonggergasi/posts/469052583669117,011-2572 0084,+60 11-2572 0084,cafe|food|point_of_interest|establishment,ChIJ5QAUzCyptjERXWnDzJ_xu4s,places/ChIJ5QAUzCyptjERXWnDzJ_xu4s,https://maps.google.com/?cid=10068907060554328413&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
TUBA CAFE,4193 ตำบล สากอ อำเภอ สุไหงปาดี นราธิวาส 96140 ประเทศไทย,6.0138777,101.84967739999999,,,,restaurant|food|point_of_interest|establishment,ChIJRTsadtYXtDER5Fdmv6Vis1k,places/ChIJRTsadtYXtDER5Fdmv6Vis1k,https://maps.google.com/?cid=6463618354227075044&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Ciao Coffee & Co.,144 ถนน สุริยะประดิษฐ์ ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4167105,101.8118734,https://www.facebook.com/ciaocoffeeandco/,094 325 8688,+66 94 325 8688,cafe|point_of_interest|food|establishment,ChIJkwfgv0TxszER6HTr0Ig2GSY,places/ChIJkwfgv0TxszER6HTr0Ig2GSY,https://maps.google.com/?cid=2745285409107571944&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Coffee Cha Cafe,"FMM4+PFC, Lubosawo, ตำบล ลุโบะสาวอ อำเภอ บาเจาะ นราธิวาส 96170 ประเทศไทย",6.4843115,101.6563942,,,,coffee_shop|cafe|food_store|food|point_of_interest|store|establishment,ChIJt6Bh4KaTszER78ge1Kxdq9I,places/ChIJt6Bh4KaTszER78ge1Kxdq9I,https://maps.google.com/?cid=15180329965856934127&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Gmie Cafe,"7178, Jln Pasir Mas - Pohon Tanjung, Kampung Dangai, 17000 Pasir Mas, Kelantan, มาเลเซีย",6.0506449,102.1328351,,,,cafe|food|point_of_interest|establishment,ChIJwUW3DvGmtjERjA0xC1aSZRU,places/ChIJwUW3DvGmtjERjA0xC1aSZRU,https://maps.google.com/?cid=1541799345696869772&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
Menara Cafe and Resort,80 ถ.นาอีม ตำบล โคกเคียน อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.533862999999999,101.7529541,,,,hotel|cafe|lodging|restaurant|point_of_interest|food|establishment,ChIJ_WZSPbnrszEREGo2Idy90yQ,places/ChIJ_WZSPbnrszEREGo2Idy90yQ,https://maps.google.com/?cid=2653673358599023120&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,cafe
